CountryID,GoodGovernanceAverage
AFG,8.014820583
ALB,51.24108
DZA,22.65323283
AND,90.32132833
AGO,18.30431
ATG,64.74866833
ARG,51.79618667
ARM,46.02645667
ABW,86.59190667
AUS,92.47765833
AUT,90.86827833
AZE,27.64222883
BHS,70.84122833
BHR,45.52876667
BGD,21.24223667
BRB,76.889685
BLR,34.08888167
BEL,83.69502833
BLZ,39.35339667
BEN,39.90734667
BTN,68.08623833
BOL,29.44349917
BIH,36.71898167
BWA,71.11069
BRA,42.17880333
BRN,72.14690833
BGR,59.915555
BFA,35.41069167
BDI,7.6216795
CPV,67.59231333
KHM,24.97284267
CMR,15.04326133
CAN,93.117605
CYM,77.51618333
CAF,6.945655167
TCD,8.113526333
CHL,79.95871333
CHN,42.84535417
COL,44.81435
COM,20.26196067
COD,5.070049833
COG,13.55553417
CRI,70.67218167
CIV,33.139605
HRV,66.48641
CUB,37.43110783
CYP,75.78078167
CZE,80.30235833
DNK,94.491495
DJI,23.05592333
DMA,67.70338667
DOM,42.035995
ECU,35.21617333
EGY,23.67202833
SLV,36.91883833
GNQ,11.63837783
ERI,7.3340868
EST,84.78837833
SWZ,32.44479
ETH,23.84794317
FJI,58.35856833
FIN,96.09679667
FRA,82.08099167
GUF,83.19752333
GAB,23.265705
GMB,35.65913333
GEO,63.958965
DEU,89.37663
GHA,53.482065
GRC,61.76029667
GRL,89.469655
GRD,60.70281333
GTM,27.90309
GIN,17.30545417
GNB,13.30249233
GUY,43.35043833
HTI,14.25187317
HND,27.72780333
HKG,87.067965
HUN,67.82567167
ISL,93.33298833
IND,48.37417333
IDN,46.479045
IRN,18.30299283
IRQ,8.576165667
IRL,90.29504333
ISR,69.64685667
ITA,67.46284333
JAM,60.27172667
JPN,88.40167167
JEY,87.477135
JOR,49.42110333
KAZ,41.25592
KEN,31.21002833
KIR,62.07138667
PRK,7.400030333
KOR,77.274825
XKX,36.57927667
KWT,48.67623833
KGZ,26.698295
LAO,23.9600695
LVA,74.16064
LBN,23.1937595
LSO,39.32415833
LBR,23.907651
LBY,2.909193333
LIE,94.12409167
LTU,77.11814667
LUX,96.06601167
MAC,78.78891833
MDG,22.53692
MWI,31.52504167
MYS,64.90250333
MDV,33.05231833
MLI,22.81590583
MLT,83.11786667
MHL,48.22370667
MRT,23.05763333
MUS,75.083315
MEX,37.642335
FSM,62.45905333
MDA,37.37076833
MNG,52.75412167
MNE,56.85042333
MAR,41.65077167
MOZ,21.97473167
MMR,19.148455
NAM,60.88067333
NRU,49.54365167
NPL,27.36332167
NLD,93.85339
NZL,98.076475
NIC,18.15497333
NER,25.346405
NGA,16.95426067
MKD,49.71759
NOR,96.81013333
OMN,57.34084833
PAK,22.45305383
PLW,61.52499
PAN,54.591335
PNG,27.96324167
PRY,37.86982833
PER,45.83459667
PHL,40.15481
POL,72.057835
PRT,84.82716333
PRI,63.62347833
QAT,63.56837667
ROU,56.09834833
RUS,28.79644667
RWA,53.42988333
WSM,73.30262167
STP,41.37023167
SAU,46.21187167
SEN,49.11266667
SRB,49.94589667
SYC,63.00632
SLE,28.29007
SGP,89.35273833
SVK,72.86816833
SVN,80.157495
SLB,43.19778667
SOM,1.610274333
ZAF,57.11525333
SSD,1.3642847
ESP,75.08278333
LKA,46.43672833
KNA,71.51177833
LCA,71.56080333
VCT,70.376115
SDN,5.531529833
SUR,43.58377
SWE,94.73295833
CHE,97.679965
SYR,2.0095734
TWN,82.96687667
TJK,10.5646075
TZA,30.304515
THA,43.63937
TLS,33.641585
TGO,22.76193667
TON,60.395405
TTO,55.47108667
TUN,44.419945
TUR,37.90514
TKM,12.99234728
TUV,61.33268167
UGA,29.88782
UKR,29.33634433
ARE,70.06876
GBR,85.15367833
USA,84.28092333
URY,80.10462667
UZB,18.87868017
VUT,54.1503
VEN,4.914767367
VNM,40.896776
PSE,31.57246117
YEM,2.099122267
ZMB,37.71885667
ZWE,11.733005