CountryName,CountryID,Region,GCFFinancingSummed,CoFinancingSummed,TotalFinanceSummed,Population,TotalGCFbyPopulation,SIDS,LDC,Africa
Albania,ALB,Eastern Europe,10833594.62,21368331.47,32201926.09,2866376,11.23436914,SIDSno,LDCno,Africano
Antigua and Barbuda,ATG,Latin America and the Caribbean,6666600,856444.77,7523044.77,96286,78.1322806,SIDSyes,LDCno,Africano
Argentina,ARG,Latin America and the Caribbean,1.03E+08,60850000,163850000,44494502,3.682477444,SIDSno,LDCno,Africano
Armenia,ARM,Eastern Europe,30823852.18,117419115.3,148242967.5,2951776,50.22161828,SIDSno,LDCno,Africano
Bahrain,BHR,Asia-Pacific,2320388,0,2320388,1569439,1.478482439,SIDSyes,LDCno,Africano
Bangladesh,BGD,Asia-Pacific,94661340,72645900,167307240,161356039,1.036882419,SIDSno,LDCyes,Africano
Barbados,BRB,Latin America and the Caribbean,27605010,17600000,45205010,286641,157.7060155,SIDSyes,LDCno,Africano
Belize,BLZ,Latin America and the Caribbean,8.00E+06,12002898,20002898,383071,52.21720778,SIDSyes,LDCno,Africano
Benin,BEN,Africa,15452084.8,14530585.6,29982670.4,11485048,2.610582942,SIDSno,LDCyes,Africayes
Bhutan,BTN,Asia-Pacific,51904548,124368000,176272548,754394,233.6611214,SIDSno,LDCyes,Africano
Bosnia and Herzegovina,BIH,Eastern Europe,17346000,105220000,122566000,3323929,36.87383214,SIDSno,LDCno,Africano
Brazil,BRA,Latin America and the Caribbean,96452228,0,96452228,209469333,0.460459899,SIDSno,LDCno,Africano
Burkina Faso,BFA,Africa,56653736.96,49309010.91,105962747.9,19751535,5.364785464,SIDSno,LDCyes,Africayes
Cambodia,KHM,Asia-Pacific,4.00E+07,101040000,141040000,16249798,8.679492508,SIDSno,LDCyes,Africano
Cameroon,CMR,Africa,4889894.1,10254535.2,15144429.3,25216237,0.600582446,SIDSno,LDCno,Africayes
Chad,TCD,Africa,7273505.68,15253176.96,22526682.64,15477751,1.455423507,SIDSno,LDCyes,Africayes
Chile,CHL,Latin America and the Caribbean,63607552,0,63607552,18729160,3.396177511,SIDSno,LDCno,Africano
China,CHN,Asia-Pacific,1.00E+08,1311968645,1411968645,1392730000,1.013813621,SIDSno,LDCno,Africano
Colombia,COL,Latin America and the Caribbean,38496000,78717258,117213258,49648685,2.360853223,SIDSno,LDCno,Africano
Comoros (the),COM,Africa,41919808,18831687,60751495,832322,72.99037512,SIDSno,LDCyes,Africayes
Cote d'Ivoire,CIV,Africa,6652695.84,13951284.48,20603980.32,25069229,0.821883286,SIDSno,LDCno,Africayes
Cuba,CUB,Latin America and the Caribbean,38206791,81707393,119914184,11338138,10.57617962,SIDSyes,LDCno,Africano
Dominica,DMA,Latin America and the Caribbean,22666600,23345017.77,46011617.77,71625,642.3960596,SIDSyes,LDCno,Africano
Ecuador,ECU,Latin America and the Caribbean,59744505,42835908,102580413,17084357,6.00434731,SIDSno,LDCno,Africano
Egypt,EGY,Africa,31385000,73807000,105192000,98423595,1.068768114,SIDSno,LDCno,Africayes
El Salvador,SLV,Latin America and the Caribbean,57549612,111838126,169387738,6420744,26.38132559,SIDSno,LDCno,Africano
Ethiopia,ETH,Africa,45002759,4958095,49960854,109224559,0.457414106,SIDSno,LDCyes,Africayes
Fiji,FJI,Asia-Pacific,31040000,374100000,405140000,883483,458.571359,SIDSyes,LDCno,Africano
Gambia,GMB,Africa,20546756,4974611,25521367,2280102,11.19308127,SIDSno,LDCyes,Africayes
Georgia,GEO,Eastern Europe,37877450.18,64590115.34,102467565.5,3726549,27.49663711,SIDSno,LDCno,Africano
Grenada,GRD,Latin America and the Caribbean,62185383.43,30922811.66,93108195.08,111454,835.3957245,SIDSyes,LDCno,Africano
Guatemala,GTM,Latin America and the Caribbean,22035512,15619028,37654540,16346950,2.303459667,SIDSno,LDCno,Africano
Guinea,GIN,Africa,5949201.72,12475995.84,18425197.56,12414318,1.484189269,SIDSno,LDCyes,Africayes
Honduras,HND,Latin America and the Caribbean,3.50E+07,4.40E+07,7.90E+07,9587522,8.23987679,SIDSno,LDCno,Africano
India,IND,Asia-Pacific,77775606,218790000,296565606,1352617328,0.219253147,SIDSno,LDCno,Africano
Indonesia,IDN,Asia-Pacific,1.00E+08,3.10E+08,4.10E+08,267663435,1.531774409,SIDSno,LDCno,Africano
Jordan,JOR,Asia-Pacific,10823852.18,21349115.34,32172967.53,9956011,3.23151185,SIDSno,LDCno,Africano
Kenya,KEN,Africa,32395643.03,15417579.73,47813222.76,51393010,0.930344861,SIDSno,LDCno,Africayes
Kiribati,KIR,Asia-Pacific,28631020,29450000,58081020,115847,501.3597245,SIDSyes,LDCyes,Africano
Kyrgyzstan,KGZ,Asia-Pacific,38564628,21063597,59628225,6322800,9.430667584,SIDSno,LDCno,Africano
Lao People's Democratic Republic (the),LAO,Asia-Pacific,26977151.18,57077267.64,84054418.81,7061507,11.90318424,SIDSno,LDCyes,Africano
Madagascar,MDG,Africa,8398656.22,6998880.18,15397536.39,26262368,0.586296574,SIDSno,LDCyes,Africayes
Malawi,MWI,Africa,12295000,3970000,16265000,18143315,0.896473439,SIDSno,LDCyes,Africayes
Maldives,MDV,Asia-Pacific,23640000,4593000,28233000,515696,54.74737054,SIDSno,LDCno,Africano
Mali,MLI,Africa,61037968.25,36835652.3,97873620.55,19077690,5.1302658,SIDSno,LDCyes,Africayes
Marshall Islands,MHL,Asia-Pacific,46059666,26989862,73049528,58413,1250.569702,SIDSyes,LDCno,Africano
Mauritius,MUS,Africa,28210000,163180000,191390000,1265303,151.260212,SIDSno,LDCno,Africayes
Micronesia (Federated States of),FSM,Asia-Pacific,2428620,1742892,4171512,112640,37.03401989,SIDSyes,LDCno,Africano
Moldova,MDA,Eastern Europe,10823852.18,21349115.34,32172967.53,2706049,11.88927751,SIDSno,LDCno,Africano
Mongolia,MNG,Asia-Pacific,155823852.2,446463115.3,602286967.5,3170208,189.983423,SIDSno,LDCno,Africano
Morocco,MAR,Africa,97489688.46,268238065.2,365727753.7,36029138,10.15088825,SIDSno,LDCno,Africayes
Mozambique,MOZ,Africa,17648656.22,7748880.18,25397536.39,29495962,0.861051299,SIDSno,LDCyes,Africayes
Namibia,NAM,Africa,37704000,1360000,39064000,2448255,15.95585427,SIDSno,LDCno,Africayes
Nauru,NRU,Asia-Pacific,29338620,40032892,69371512,12704,5460.603904,SIDSyes,LDCno,Africano
Nepal,NPL,Asia-Pacific,39299905,8042248,47342153,28087871,1.685501653,SIDSno,LDCyes,Africano
Niger (the),NER,Africa,17324008.62,19700348.73,37024357.35,22442948,1.649710072,SIDSno,LDCyes,Africayes
Nigeria,NGA,Africa,12601219.82,26425859.04,39027078.86,195874740,0.199245083,SIDSno,LDCno,Africayes
North Macedonia,MKD,Eastern Europe,10823852.18,21349115.34,32172967.53,2082958,15.44580713,SIDSno,LDCno,Africano
Pakistan,PAK,Asia-Pacific,120950832,547699931,668650763,212215030,3.150817183,SIDSno,LDCno,Africano
Papua New Guinea,PNG,Asia-Pacific,2428620,1742892,4171512,8606316,0.48470356,SIDSyes,LDCno,Africano
Paraguay,PRY,Latin America and the Caribbean,98060376,85197119,183257495,6956071,26.3449719,SIDSno,LDCno,Africano
Peru,PER,Latin America and the Caribbean,6240000,2870000,9110000,31989256,0.284783116,SIDSno,LDCno,Africano
Philippines (the),PHL,Asia-Pacific,9999042.27,10192307.69,20191349.96,106651922,0.189320076,SIDSno,LDCno,Africano
Rwanda,RWA,Africa,32794442,359990,33154432,12301939,2.695057421,SIDSno,LDCyes,Africayes
Saint Kitts and Nevis,KNA,Latin America and the Caribbean,1.60E+07,22488573,38488573,52441,733.9404855,SIDSyes,LDCno,Africano
Saint Lucia,LCA,Latin America and the Caribbean,1.60E+07,22488573,38488573,181889,211.6047315,SIDSyes,LDCno,Africano
Saint Vincent and the Grenadines,VCT,Latin America and the Caribbean,1.60E+07,22488573,38488573,110210,349.2294075,SIDSyes,LDCno,Africano
Samoa,WSM,Asia-Pacific,60146620,9742892,69889512,196130,356.342793,SIDSyes,LDCno,Africano
Senegal,SEN,Africa,43634394.46,67282646.14,110917040.6,15854360,6.995996092,SIDSno,LDCyes,Africayes
Serbia,SRB,Eastern Europe,10823852.18,21349115.34,32172967.53,6982604,4.607588735,SIDSno,LDCno,Africano
Solomon Islands,SLB,Asia-Pacific,8.60E+07,155880000,241880000,652858,370.4940431,SIDSyes,LDCyes,Africano
South Africa,ZAF,Africa,8398656.22,6998880.18,15397536.39,57779622,0.266487316,SIDSno,LDCno,Africayes
Sri Lanka,LKA,Asia-Pacific,77859000,23200000,101059000,21670000,4.66354407,SIDSno,LDCno,Africano
State of Palestine,PSE,Asia-Pacific,26550707.73,23516237.4,50066945.13,4569087,10.95775702,SIDSno,LDCno,Africano
Tajikistan,TJK,Asia-Pacific,73773586,109489404,183262990,9100837,20.13693795,SIDSno,LDCno,Africano
Tanzania,TZA,Africa,123404255.3,83482642.78,206886898.1,56318348,3.673525688,SIDSno,LDCyes,Africayes
Timor-Leste,TLS,Asia-Pacific,22356805,37087062,59443867,1267972,46.88105652,SIDSyes,LDCyes,Africano
Tonga,TON,Asia-Pacific,32328620,19442892,51771512,103197,501.6765216,SIDSyes,LDCno,Africano
Tunisia,TUN,Africa,10823852.18,21349115.34,32172967.53,11565204,2.781876353,SIDSno,LDCno,Africayes
Tuvalu,TUV,Asia-Pacific,36010000,2860000,38870000,11508,3377.65033,SIDSyes,LDCyes,Africano
Uganda,UGA,Africa,24140000,20122000,44262000,42723139,1.036019381,SIDSno,LDCyes,Africayes
Uzbekistan,UZB,Asia-Pacific,9500000,24890000,34390000,32956100,1.043509396,SIDSno,LDCno,Africano
Vanuatu,VUT,Asia-Pacific,22953000,3682000,26635000,292680,91.0038267,SIDSyes,LDCyes,Africano
Viet Nam,VNM,Asia-Pacific,146028367,547994100,694022467,95540395,7.26417833,SIDSno,LDCno,Africano
Zambia,ZMB,Africa,3.20E+07,105269000,137269000,17351822,7.910927164,SIDSno,LDCyes,Africayes
Zimbabwe,ZWE,Africa,35432883,22348267,57781150,14439018,4.001736822,SIDSno,LDCno,Africayes