,CountryID,Gender,GenderScaled,GenderRecoded
1,AFG,0.575,0.675031368,0.324968632
2,ALB,0.234,0.247176913,0.752823087
3,DZA,0.443,0.509410289,0.490589711
4,AGO,0.578,0.678795483,0.321204517
5,ARG,0.354,0.397741531,0.602258469
6,ARM,0.259,0.278544542,0.721455458
7,AUS,0.103,0.08281054,0.91718946
8,AUT,0.073,0.045169385,0.954830615
9,AZE,0.321,0.356336261,0.643663739
10,BHS,0.353,0.396486826,0.603513174
11,BHR,0.207,0.213299875,0.786700125
12,BGD,0.536,0.626097867,0.373902133
13,BRB,0.256,0.274780427,0.725219573
14,BLR,0.119,0.102885822,0.897114178
15,BEL,0.045,0.010037641,0.989962359
16,BLZ,0.391,0.444165621,0.555834379
17,BEN,0.613,0.722710163,0.277289837
18,BTN,0.436,0.500627353,0.499372647
19,BOL,0.446,0.513174404,0.486825596
20,BIH,0.162,0.156838143,0.843161857
21,BWA,0.464,0.535759097,0.464240903
22,BRA,0.386,0.437892095,0.562107905
23,BRN,0.234,0.247176913,0.752823087
24,BGR,0.218,0.227101631,0.772898369
25,BFA,0.612,0.721455458,0.278544542
26,BDI,0.52,0.606022585,0.393977415
27,CPV,0.372,0.420326223,0.579673777
28,KHM,0.474,0.548306148,0.451693852
29,CMR,0.566,0.663739021,0.336260979
30,CAN,0.083,0.057716437,0.942283563
31,CAF,0.682,0.809284818,0.190715182
32,TCD,0.701,0.833124216,0.166875784
33,CHL,0.288,0.314930991,0.685069009
34,CHN,0.163,0.158092848,0.841907152
35,COL,0.411,0.469259724,0.530740276
36,COG,0.579,0.680050188,0.319949812
37,COD,0.655,0.775407779,0.224592221
38,CRI,0.285,0.311166876,0.688833124
39,HRV,0.122,0.106649937,0.893350063
40,CUB,0.313,0.34629862,0.65370138
41,CYP,0.086,0.061480552,0.938519448
42,CZE,0.137,0.125470514,0.874529486
43,CIV,0.657,0.777917189,0.222082811
44,DNK,0.04,0.003764115,0.996235885
45,DOM,0.453,0.52195734,0.47804266
46,ECU,0.389,0.441656211,0.558343789
47,EGY,0.45,0.518193225,0.481806775
48,SLV,0.397,0.451693852,0.548306148
49,EST,0.091,0.067754078,0.932245922
50,SWZ,0.579,0.680050188,0.319949812
51,ETH,0.508,0.590966123,0.409033877
52,FJI,0.357,0.401505646,0.598494354
53,FIN,0.05,0.016311167,0.983688833
54,FRA,0.051,0.017565872,0.982434128
55,GAB,0.534,0.623588457,0.376411543
56,GMB,0.62,0.731493099,0.268506901
57,GEO,0.351,0.393977415,0.606022585
58,DEU,0.084,0.058971142,0.941028858
59,GHA,0.541,0.632371393,0.367628607
60,GRC,0.122,0.106649937,0.893350063
61,GTM,0.492,0.570890841,0.429109159
62,GUY,0.492,0.570890841,0.429109159
63,HTI,0.62,0.731493099,0.268506901
64,HND,0.479,0.554579674,0.445420326
65,HUN,0.258,0.277289837,0.722710163
66,ISL,0.057,0.025094103,0.974905897
67,IND,0.501,0.582183187,0.417816813
68,IDN,0.451,0.51944793,0.48055207
69,IRN,0.492,0.570890841,0.429109159
70,IRQ,0.54,0.631116688,0.368883312
71,IRL,0.093,0.070263488,0.929736512
72,ISR,0.1,0.079046424,0.920953576
73,ITA,0.069,0.040150565,0.959849435
74,JAM,0.405,0.461731493,0.538268507
75,JPN,0.099,0.077791719,0.922208281
76,JOR,0.469,0.542032622,0.457967378
77,KAZ,0.203,0.208281054,0.791718946
78,KEN,0.545,0.637390213,0.362609787
79,KOR,0.058,0.026348808,0.973651192
80,KWT,0.245,0.26097867,0.73902133
81,KGZ,0.381,0.43161857,0.56838143
82,LAO,0.463,0.534504391,0.465495609
83,LVA,0.169,0.165621079,0.834378921
84,LBN,0.362,0.407779172,0.592220828
85,LSO,0.546,0.638644918,0.361355082
86,LBR,0.651,0.770388959,0.229611041
87,LBY,0.172,0.169385194,0.830614806
88,LTU,0.124,0.109159348,0.890840652
89,LUX,0.078,0.051442911,0.948557089
90,MWI,0.615,0.725219573,0.274780427
91,MYS,0.274,0.297365119,0.702634881
92,MDV,0.367,0.414052698,0.585947302
93,MLI,0.676,0.801756587,0.198243413
94,MLT,0.195,0.198243413,0.801756587
95,MRT,0.62,0.731493099,0.268506901
96,MUS,0.369,0.416562108,0.583437892
97,MEX,0.334,0.372647428,0.627352572
98,MDA,0.228,0.239648683,0.760351317
99,MNG,0.322,0.357590966,0.642409034
100,MNE,0.119,0.102885822,0.897114178
101,MAR,0.492,0.570890841,0.429109159
102,MOZ,0.569,0.667503137,0.332496863
103,MMR,0.459,0.529485571,0.470514429
104,NAM,0.46,0.530740276,0.469259724
105,NPL,0.476,0.550815558,0.449184442
106,NLD,0.041,0.005018821,0.994981179
107,NZL,0.133,0.120451694,0.879548306
108,NIC,0.455,0.52446675,0.47553325
109,NER,0.647,0.765370138,0.234629862
110,MKD,0.145,0.135508156,0.864491844
111,NOR,0.044,0.008782936,0.991217064
112,OMN,0.304,0.335006274,0.664993726
113,PAK,0.547,0.639899624,0.360100376
114,PAN,0.46,0.530740276,0.469259724
115,PNG,0.74,0.882057716,0.117942284
116,PRY,0.482,0.558343789,0.441656211
117,PER,0.381,0.43161857,0.56838143
118,PHL,0.425,0.486825596,0.513174404
119,POL,0.12,0.104140527,0.895859473
120,PRT,0.081,0.055207026,0.944792974
121,QAT,0.202,0.207026349,0.792973651
122,ROU,0.316,0.350062735,0.649937265
123,RUS,0.255,0.273525721,0.726474279
124,RWA,0.412,0.470514429,0.529485571
125,LCA,0.333,0.371392723,0.628607277
126,WSM,0.364,0.410288582,0.589711418
127,STP,0.547,0.639899624,0.360100376
128,SAU,0.224,0.234629862,0.765370138
129,SEN,0.523,0.6097867,0.3902133
130,SRB,0.162,0.156838143,0.843161857
131,SLE,0.644,0.761606023,0.238393977
132,SGP,0.065,0.035131744,0.964868256
133,SVK,0.19,0.191969887,0.808030113
134,SVN,0.069,0.040150565,0.959849435
135,ZAF,0.422,0.483061481,0.516938519
136,ESP,0.074,0.04642409,0.95357591
137,LKA,0.38,0.430363864,0.569636136
138,SDN,0.56,0.65621079,0.34378921
139,SUR,0.465,0.537013802,0.462986198
140,SWE,0.04,0.003764115,0.996235885
141,CHE,0.037,0,1
142,SYR,0.547,0.639899624,0.360100376
143,TJK,0.377,0.426599749,0.573400251
144,TZA,0.539,0.629861982,0.370138018
145,THA,0.377,0.426599749,0.573400251
146,TGO,0.566,0.663739021,0.336260979
147,TON,0.418,0.47804266,0.52195734
148,TTO,0.324,0.360100376,0.639899624
149,TUN,0.3,0.329987453,0.670012547
150,TUR,0.305,0.336260979,0.663739021
151,UGA,0.531,0.619824341,0.380175659
152,UKR,0.284,0.309912171,0.690087829
153,ARE,0.113,0.095357591,0.904642409
154,GBR,0.119,0.102885822,0.897114178
155,USA,0.182,0.181932246,0.818067754
156,URY,0.275,0.298619824,0.701380176
157,UZB,0.303,0.333751568,0.666248432
158,VEN,0.458,0.528230866,0.471769134
159,VNM,0.314,0.347553325,0.652446675
160,YEM,0.834,1,0
161,ZMB,0.54,0.631116688,0.368883312
162,ZWE,0.525,0.61229611,0.38770389